id;name;country;region;sub_regions;code_postal;address;type;secteur_activite;juridique_form;employee_number;caa
1;du fait que égarer tic-tac;24333;16883;62;dès que à condition que atchoum;subito;Professionnel;Public;RC;15642;31419.48
2;dans la mesure où tout à fait;8660;21128;877;alors que;depuis;Professionnel;Public;PERSONNE_PHYSIQUE;7505;3713.49
3;insolite;14338;17178;24090;lors de bien que après;hier éveiller;Professionnel;Prive;PERSONNE_PHYSIQUE;2887;15935.38
4;commenter quoique quand;11958;17513;6864;super areu areu sans;situer snif nonobstant;Particulier;Public;SSARL;22039;11651.84
5;d'avec ouf;16570;7209;1672;de manière à sauf à;secouriste corps enseignant;Professionnel;Public;SNC;18806;21403.88
6;présidence manier peut-être;5904;25645;26192;secouriste;antagoniste;Particulier;Public;SNC;14526;29360.06
7;pourvu que ah;5735;12164;8398;population du Québec gratter;sincère;Professionnel;Prive;SNC;25055;32137.09
8;camarade pourpre sitôt que;19786;17816;5899;espérer;abuser à moins de;Professionnel;Public;AGENCE;19406;25740.07
9;d'avec rattraper de sorte que;9507;3455;6053;étant donné que;sous couleur de porte-parole;Professionnel;Public;SCPA;30644;28423.05
10;toutefois moyennant aux alentours de;22557;1868;13748;administration cependant touriste;altruiste tant mince;Professionnel;Prive;SPA;23994;10699.21
