id;name;prospect_level;description;amount;creation_date;model
1;en face de;PROSPECT;dedans répartir aïe;29894.28;2024-03-30T21:18:15;B2B
2;au-dehors au-dessus de;OPPORTUNITIES;vivace;27245.19;2024-03-31T00:33:05;B2B
3;en vérité;OPPORTUNITIES;splendide;7018.26;2024-03-31T03:22:41;B2C
4;aspirer;OPPORTUNITIES;pallier proche de;24700.31;2024-03-31T08:08:00;B2B
5;souvent;PROSPECT;équipe de recherche alentour;7107.23;2024-03-30T23:11:48;B2C
6;puisque;OPPORTUNITIES;bon;23885.05;2024-03-31T01:51:34;B2C
7;longtemps si foule;PROSPECT;terriblement;5970.57;2024-03-31T05:45:52;B2C
8;moderne hé présidence;OPPORTUNITIES;ouch;20791.86;2024-03-30T20:05:28;B2B
9;novice à partir de;PROSPECT;avant de sorte que;18817.87;2024-03-30T15:54:52;B2B
10;dring;PROSPECT;hier;8028.68;2024-03-31T02:02:03;B2C
