id;name;description;creation_date;owning_user
1;instruire à demi pour;simple;2024-03-30T17:44:28;mal tellement indiquer
2;tout à fait;juriste;2024-03-31T03:52:02;euh diplomate hi
3;sale si bien que;grrr;2024-03-31T02:17:54;paf résonner du côté de
4;trop;céans à moins de de façon que;2024-03-30T13:11:45;égoïste personnel professionnel
5;peu quand;considérable ensuite serviable;2024-03-31T07:32:37;orange
6;hors terriblement;durant de manière à ce que à peine;2024-03-31T00:17:04;incalculable cocorico
7;tellement triathlète;en plus de;2024-03-30T10:26:13;au cas où afin que lier
8;main-d’œuvre blême;chez;2024-03-31T06:53:52;membre du personnel glouglou miaou
9;tant;chut;2024-03-31T04:29:26;proche
10;terriblement y;premièrement sympathique si;2024-03-30T19:52:06;avant que clac comporter
